,album,title,lyrics
10,"album: ""Backstreet Boys"" (1995)",Let's Have A Party,"

But all I wanna know is where the party at [2x]
Let's have a party [2x]
(But all I wanna know is where the party at)
Everybody
Let's have a party
(But all I wanna know is where the party at)

I've been watching you
You've been watching me
Let's stop playin' games girl
Come and dance with me
Don't you hear the music
Don't you feel the groove yeah
Come on girl get on the floor
I wanna dance with you
(But all I wanna know is where the party at)

Let's have a party
Everybody, throw your hands up in the air
Let's have a party
I like the way you swing yeah
(But all I wanna know is where the party at)
Everybody
Girl you know, mmm, you're lookin' good
Let's have a party
Girl you gotta work that body
(But all I wanna know is where the party at)

Girl I must be dreamin'
To have a night like this
Holdin' hands bein' close
Sharin' our first kiss
You really blow my mind
I can't believe it's true
I've been waiting all night long
To get a girl like you
(But all I wanna know is where the party at)

Let's have a party (shake it baby, shake it)
We're movin' to the groove yeah
Let's have a party
All the fellas and the honeys get on the floor
(But all I wanna know is where the party at)
Everybody
Cuz we're gonna have a party
Let's have a party
So everybody can enjoy yourself with me
(But all I wanna know is where the party at)

[RAP:]
Welcome everybody
To the party
Don't forget the honeys
The mad fun has just begun at the party, yo
Give a call or beep
And make sure your girl ain't creepin'
It's time to get it on
The dance floor
You want more than what you came here for
I see you lookin' at me
Across the dance floor
I wish for that sweet little kiss
Don't be no Cinderella
And go poof after midnight
Uh yeah

But all I wanna know is where the party at [5x]

Let's have a party (shake it baby, shake it)
I like, mmm, everybody
Let's have a party
Throw you hands up everybody, everybody
Everybody
Girl you know, mmm, you're lookin' good
Let's have a party
I like the way you swing yeah
(But all I wanna know is where the party at)
Let's have a party (mmm, shake it baby)
We're movin' to the groove yeah
Let's have a party
Everybody
(But all I wanna know is where the party at)
Throw your hands up
Everybody (Shake it baby, shake it)
Cuz we're gonna have a party
So everybody can enjoy yourself with me
"
11,"album: ""Backstreet Boys"" (1995)",Roll With It,"

Roll with it
Roll with it (oh yeah)
Roll with it
You've got to roll with it

If you ever feel
Like no one cares
When you try your best
But you get nowhere
Don't give in
Cuz good times
Will come again hey
When they criticize
Every move you make
And you've had as much
As you're gonna take
Don't you worry
Soon enough things will change, ohh

[Bridge:]
And when it seems as though
Nobody understands young man (understand young man)
Oh don't you let your head hang down
Young woman just stick to your plan

You've got to roll with it (that's whatcha gotta do)
Roll with it (yeah, yeah)
Roll with it (oh yeah)
You've got to roll wih it (that's whatcha gotta do)
Roll with it (just roll with it)
Roll with it (roll with it)
You've got to roll (you've got to roll)

Just roll with it
Everything will be fine
Just roll with it
It's gonna be alright
Just roll with it
Don't put yourself down
Just roll with it

If you just can't find
Someone to trust
And when you give your heart
But you don't get much
Don't you worry
Your time is gonna come, oh yeah
The whole world's a school
So much to learn
So learn it well young man
The whole world's a stage
Some act the fool
Young woman understand

You've got to roll
Roll with it (you've got to roll)
Roll with it (that's whatcha gotta do)
Roll with it (roll with it)
You've got to roll with it (that's whatcha gotta do)
Roll with it (ooh yeah)
Roll with it (roll with it)
You've got to roll with it (you've got to roll with it)

Just roll with it (roll)
Just roll with it
Just roll with it
Everybody just
Just roll with it
Come on now
Just roll with it
Backstreet's say
Just roll with it
Come on y'all
Just roll with it

[Bridge]

You've got to roll
Roll with it (all the fellas roll)
Roll with it (all the ladies roll)
Roll with it (everybody roll)
You've got to roll with it (just roll)
Roll with it
Roll with it (just roll with it)
You've got to roll with it (you've got to)
Just roll with it
Roll with it (you've got to)
Just roll with it
Roll with it (you've got to roll)
Just roll with it
You've got to roll with it (you've got to roll with it)
Just roll with it (everybody roll with it)
Just roll with it
Roll with it (you've got to roll with it)
Just roll with it (You've got to roll with it)
Just roll with it
You've got to roll with it (you've got to roll, you've got to roll)
You've got to roll with it
Everybody, anybody, everybody roll with it
Everybody, anybody everybody roll
You've got to roll with it
Everybody, anybody, everybody roll with it
Everybody, anybody, everybody roll
You've got to roll with it (just roll)
"
12,"album: ""Backstreet Boys"" (1995)",Nobody But You,"

Ain't nobody else but you [3x]

There is nobody
Who can make me cry
Nobody else can do it
Nobody but you [2x]
Ain't nobody else but you
There is nobody
Who can make me lie
Nobody else can do it
Nobody but you [2x]
Ain't nobody else but you
Nobody, nobody but you
Gimme one more chance to make it right
Time has come for us to reunite
Cuz baby it's true
Ain't nobody else but you
There's no one like you

There is nobody
Who can make it right
Nobody else can do it
Nobody but you
You know what to do
Ain't nobody else but you
Nobody, (nobody) nobody but you
Yeah
Somebody tell me
Cuz I can't eat or sleep
When you're not close to my body
You're a bittersweet delight
Come and help me through the night

Ain't nobody else can make me cry
Ain't nobody else can make me lie
Nobody but you
Ain't nobody else but you
Nobody but you
No one can make me lie
Gimme one more chance to make it right
Time has come for us to reunite
Cuz baby it's true
Ain't nobody else but you
There's no one like you
"
13,"album: ""Backstreet's Back"" (1997)",Everybody (Backstreet's Back),"

Everybody
Rock your body
Everybody
Rock your body right
Backstreet's back
Alright

Oh my God, we're back again
Brothers, sisters, everybody sing
Gonna bring the flavor, show you how
Gotta question for you better answer now

Am I original?
Yeah
Am I the only one?
Yeah
Am I sexual?
Yeah
Am I everything you need?
You better rock your body now

Everybody
Yeah
Rock your body
Yeah
Everybody
Rock your body right
Backstreet's back
Alright
Alright

Now throw your hands up in the air
Wave them 'round like you just don't care
If you wanna party let me hear you yell
'Cause we got it going on again

Am I original?
Yeah
Am I the only one?
Yeah
Am I sexual?
Yeah
Am I everything you need?
You better rock your body now

Everybody
Yeah
Rock your body
Yeah
Everybody
Rock your body right
Backstreet's back
Alright
Alright

Rock your body

So everybody everywhere
Don't be afraid, don't have no fear
I'm gonna tell the world, make you understand
As long as there'll be music, we'll be comin' back again

Everybody
Yeah
Rock your body
Yeah
Everybody
Rock your body right (rock your body right)
Backstreet's back

Everybody (everybody)
Yeah (rock your body)
Rock your body (everybody)
Yeah (everybody rock your body)
Everybody (everybody, rock your body)
Rock your body right (everybody)
Backstreet's back, alright
"
14,"album: ""Backstreet's Back"" (1997)",As Long As You Love Me,"

Although loneliness has always been a friend of mine
I'm leaving my life in your hands
People say I'm crazy and that I am blind
Risking it all in a glance
And how you got me blind is still a mystery
I can't get you out of my head
Don't care what is written in your history
As long as you're here with me

I don't care who you are
Where you're from
What you did
As long as you love me
Who you are
Where you're from
Don't care what you did
As long as you love me

Every little thing that you have said and done
Feels like it's deep within me
Doesn't really matter if you're on the run
It seems like we're meant to be

I don't care who you are (who you are)
Where you're from (where you're from)
What you did
As long as you love me (I don't know)
Who you are (who you are)
Where you're from (where you're from)
Don't care what you did
As long as you love me (yeah)

As long as you love me
As long as you love me

I've tried to hide it so that no one knows
But I guess it shows
When you look into my eyes
What you did and where you're coming from
I don't care, as long as you love me, baby

I don't care who you are (who you are)
Where you're from (where you're from)
What you did
As long as you love me (as long as you love me)
Who you are (who you are)
Where you're from (where you're from)
Don't care what you did (yeah)
As long as you love me (as long as you love me)
Who you are (who you are)
Where you're from
What you did
As long as you love me
Who you are (who you are)
Where you're from (where you're from)
As long as you love me
Who you are
As long as you love me
What you did (I don't care)
As long as you love me
"
15,"album: ""Backstreet's Back"" (1997)",All I Have To Give,"

I don't know what he does to make you cry
But I'll be there to make you smile
I don't have a fancy car
To get to you I'd walk a thousand miles
I don't care if he buys you nice things
Does his gifts come from the heart?
I don't know
But if you were my girl
I'd make it so we'd never be apart

[Chorus:]
But my love is all I have to give
Without you I don't think I could live
I wish I could give the world to you
But love is all I have to give

When you talk (when you talk) does it seem like he's not
Even listening to a word you say?
That's okay babe, just tell me your problems
I'll try my best to kiss them all away
Does he leave (does he leave) when you need him the most?
Does his friends get all your time?
Baby please
I'm on my knees
Praying for the day that you'll be mine

[Chorus]

[Bridge:]
To you... (hey girl) hey girl, I don't want you to cry no more inside
All the money in the world could never add up to all the love
I have inside... I love you

And I will give it to you
All I can give, all I can give
Everything I have is for you
But love is all I have to give

[Chorus (3x)]

But my love is all I have to give
Without you I don't think I can live
I wish I could give the world to you
But love is all I have to give... to you
"
16,"album: ""Backstreet's Back"" (1997)",That's The Way I Like It,"

Hey yeah

That's the way I like it

Somebody told me that you're not my kind
So have I lost my mind?
You keep on doing all the things I like
You've got me hypnotized
But that's the way I like it

Girl you make me wanna move
It's the price I got to pay
For all the things you do
But I like it
Gotta listen to the groove
And you gotta listen well
The way you do it
That's the way I like it

Everybody now
I like it
Everybody now
That's the way I like it
Everybody come on
I like it
Everybody come on
That's the way I like it

Oh mystery lady, you've got somethin' I like
Tell me you're here to stay (ooh yeah)
You're dangerous, oh baby
Could you do me right?
Will you come out to play?
Cuz that's the way I like it

Gotta listen to the groove
And you gotta listen well
The way you do it
That's the way I like it

Everybody now
I like it
Everybody now
That's the way I like it
Everybody come on
I like it
Everybody come on
That's the way I like it

Everybody come on
I like it
Everybody come on

Gotta listen to the groove
And you gotta listen well
The way you do it
That's the way I like it
Hey yeah

That's the way that I like it, that is the way I like it
That's the way that I like it, that is the way I like it
That's the way that I like it, that is the way I like it
Everybody now, everybody now
That's the way that I like it, that is the way I like it
Everybody come on, everybody come on
That's the way I like it
That's the way that I like it, that is the way I like it
Everybody now, everybody now
That's the way I like it
That's the way that I like it, that is the way I like it
Everybody come on, everybody come on
That's the way I like it
"
17,"album: ""Backstreet's Back"" (1997)","10,000 Promises","

Once we were lovers
Just lovers we were oh what a lie
Once we were dreamers
Just dreamers we were oh you and I
Now I see you're just somebody
Who wastes all my time and money
What a lie
You and I

What about your
Your 10,000 promises?
That you gave to me
Your 10,000 promises
That you promised me

Once I could handle the truth
When the truth was you and I
But time after time all the promises
Turned out to be all lies
And now, now I see that you're somebody
Who wasted my time and money
What lie, oh what a lie (what a lie)
Oh you, you and I, oh you and I

What about your
Your 10,000 promises?
That you gave to me (to me, babe)
Your 10,000 promises
That you promised me

You say I'll take you back
But I close the door
'Cause I don't want 10,000 more

10,000 promises yeah
10,000 promises you gave to me

What about your
Your 10,000 promises?
That you gave to me
Your 10,000 promises
That you promised me
(what about your)
Your 10,000 promises (10,000 promises you gave to me)
That you gave to me (what about your)
Your 10,000 promises
(what about your 10,000 promises you gave to me?)

Once we were lovers
Just lovers we were
You and I
What a lie
"
18,"album: ""Backstreet's Back"" (1997)",Like A Child,"

If I could right the wrongs that made you cry
Girl, would you promise not to say goodbye, oh
Cuz I'm holding on
With a love so strong
And I can't take the day without you by my side

Girl if I could change
If I could change your mind
Maybe you could help me wipe these tears from my eyes

Girl don't stop (don't stop)
The sun from shining down on me (ooh shining down on me, yeah)
Cuz I can't face another day without your smile (your smile)
And if you take away the loving arms that surround me
Then I might break down and cry just like a child

Girl I can't belong and I won't be free
If I fail to bring your lovin' back to me (oh back to me)
So I'm pressin' on
I hope you understand
That there's a broken heart that lies within your hands

So if I can change (so if I can change)
And it won't hurt your pride (it won't your pride)
Baby you can help stop these tears from my cries

Girl don't stop
The sun from shining down on me (shining down on me)
Cuz I can't face another day without your smile (your pretty smile, your pretty smile)
And if you take away the loving arms that surround me
Then I might break down and cry just like a child

Like a child
Just like a child
With the spirits running free
She trapped me wild
Oh she did
Like a child (oh baby)
Just like a child Think of what our love could be
If our hearts could set us free
Like a child, yeah

[Chorus 'til fade]
"
19,"album: ""Backstreet's Back"" (1997)","Hey, Mr. DJ (Keep Playin' That Song)","

Ah, Backstreet
One time here we go (yes, yes one time, yes, yes)

I could tell when I stepped in the room
And I saw you standing there
Caught in a vibe by the way that you moved
I couldn't help the way I stared
There was some mysterious force
Leading me here to you
Lead me to you (lead me to you)

So I stood there watching
And I was hypnotized
By the rhythm of your body
And the music in your eyes
And I was lost inside your world with you
Oohh-ooh-ooh-ooh

[Chorus:]
Hey Mr. DJ keep playin' this song for me
Out on the floor in my arms she's gotta be
Let's get it on (let's get it on)
Jam all night long
Mr. DJ, Mr. DJ
Play it play it for me
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh

Now it feels like it could be romance
As we dance across the floor
Every move that your body makes
Only makes me want you more
And it seems like time's moving fast
How can we make it last?
Make it last now (make it last some how)

As we keep on dancing
I am hypnotized
By the rhythm of your body
And the music in your eyes
I was lost inside your world with you (with you)
Oohh-ooh-ooh-ooh

[Chorus]

Close your eyes (close your eyes)
And imagine us alone (Just imagine) 
Let the music put you in a zone (let the music put you in a zone, a zone yeah)
I get lost (I get lost)
Lost inside a groove with you (Lost inside a groove)
When you do the dance you do
Come on and work your body, work your body

Hey, Mr. DJ
Jam all night long
Hey, Mr. DJ
Play that song for me
Hey, Mr. DJ
Jam all night long
Hey, Mr. DJ
Play that song for me

[Chorus (2x)]

Keep it comin' Mr. DJ
Ohh
Keep it comin' Mr. DJ
Ohh
Keep it comin' Mr. DJ
Ohh
Keep it comin' Mr. DJ
Ohh
"
