,album,title,lyrics
38,"album: ""Black & Blue"" (2000)",Get Another Boyfriend,"

Get another boyfriend Backstreet ...

check it Let's talk about one,
baby You gotta hear me out
Do you really want to be the last to know
what it's all about
Let's talk about who you say
Is the essence of your life
But he'll eat you up from inside slow
And then he doesn't wanna know
I'm tellin you he'll eat you up from inside
And then he doesn't wanna know

Listen, I mean it
There's nothing that he's worthy of
He's just another playa',
Playin in the name of love
I've seen enough, now this must come to an end
Get another Boyfriend

Let's talk about what, 
He's done to become your number one
Or was it all the promises of diamonds,
pearls and party dresses that turned you on
I've seen it before (Don't take!)
Anymore, free too,
You're through for sure
Just go get on with your life STOP!
Acting like you're giving up
I'm telling you, go get on with your life
Stop acting like you're givin up

Listen, I mean it
There's nothing that he's worthy of
He's just another playa',
Playin in the name of love
I've seen enough, now this must come to an end
(must come to an end)
Get another Boyfriend

[synthesized voicing saying ""Why?"" & ""Get another Boyfriend""]
STOP

Hey Yeah ah
Hear me out, you must know what it's all about
he's just a playa in love this must come to and end 
Get, another boyfriend

Listen, I mean it (I mean it)
There's nothing that he's worthy of
(ain't nothing that he's worthy of)
He's just another playa' ,
Playin in the name of love
I've seen enough, now this must come to an end
Get another , Get another, Get another Boyfriend

Listen, I mean it(hear me now)
There's nothing that he's worthy of
(you must know, what it's all about)
He's just another playa' ,
Playin in the name of love
(he's just a playa in love)
I've seen enough, now this must come to an end
(this must come to an end)
Get another Boyfriend, Get.....another boyfriend
"
39,"album: ""Black & Blue"" (2000)",Shining Star,"

You're my shining star,
that is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby

Baby when you do the things you do
I wanna be close to you
'Cause I need to feel your every move
Baby I can never say how much
( I )I need your touch
( I )I can't get enough
'Cause you know what you do turn me on oh yeah

You're my shining star,
that is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby

Oh my my baby
Baby you're as close as close can get
And baby you know I let every single
part of me be yours ooh yeah 
Doesn't matter if the phone might ring
( I )Cause I won't hear a thing
( I )When I'm in your arms
'Cause you know what you do turn me on oh yeah

You're my shining star,
that is what you are
There is no one like you baby,
baby no
Angels everywhere
Everytime you're near
You will always be my baby
Oh my my baby

I've never been so satisfied
with anything in my entire life
cause you are doin everything so right
oh oh baby, what what
I've never been so satisfied with anything
in my entire life cause you are doin everything so right
oh oh baby,
Dark child Backstreet Boys c'mon

You're my shining star,
that is what you are
(You're my shining star, that is what you are)
There is no one like you baby
Angels everywhere (Angels everywhere)
Everytime you're near(Everytime you're near)
You will always be my baby
Oh my my baby

You're my shining star,
oh yes you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby( be my baby )

You know that I adore you
wanna be there everyday for you
Satisfy your every needs my baby,
baby You know that I adore you
wanna be there everyday for you
Satisfy your every needs my baby, baby.

You're my shining star,
that is what you are 
There is no one like you baby 
Angels everywhere
Everytime you're near
You will always be my baby, baby.
"
40,"album: ""Black & Blue"" (2000)",I Promise You (With Everything I Am),"

It's in the silences,
the words you never say
I see it in your eyes, 
it always starts the same way
It seems like everyone we know,
is breaking up
Does anybody ever stay in love, anymore?

I promise you,
from the bottom of my heart
I will love you till death do us part
I promise you as a lover and a friend
I will love you like I never love again
With everything I am

ooh I see you look at me,
when you think I'm not aware
You're searching for clues,
of just how deep my feelings are.
How do you prove the sky is blue, the oceans wide?
All I know is how I feel,
when I look into your eyes

I promise you,
from the bottom of my heart
I will love you till death do us part
I promise you as a lover and a friend
I will love you like I never love again
With everything that I am ooh yeah

Oh there are no guarantees
That's what you always say to me
But late at night I feel the tremble in your touch
Oh what I'm trying to say to you,
I never said to anyone I Promise

I promise you,
from the bottom of my heart
I will love you till death do us part
(I do my darling I promise you)
I promise you as a lover and a friend
I will love you like I never love again

With everything I am I promise you,
from the bottom of my heart
I will love you till death do us part
( I love you I love you I love you I love you)
I promise you as a lover and a friend
I will love you like I never love again
With everything I am

You're everything I am oh yeah
With everything I am
"
41,"album: ""Black & Blue"" (2000)",The Answer To Our Life,"

You see me sitting here, a smile upon my face
The time has come but you know that it's not too late
There's been too many things, together we have seen
It's not that hard if we start to believe
And we're not gonna take anymore
Can we try to erase all the pain
So please

Show me a reason, give me a sign
Tell me the way we, fall out of line
Is it today or is it tonight?
We'll find, the answer to our life

This world is not at ease, we seem to hide the truth
Thinking there's only so much we can really do
It's up to you and me, to face our destiny
The jury's here so let's take the stand
And we're not gonna take anymore
Can we try to erase all the pain
So Please

Show me a reason, give me a sign
Tell me the way we, fall out of line
Is it today or is it tonight?
We'll find, the answer to our life

Tell me why we have to cry
And not try
When there's so many things we can do
To help this troubled world start a new

I need a reason, I need a sign
There's no turning back I'm here by your side
Is it today or maybe tonight?
We'll find
The answer to our life
Show me the way, give me a sign
Tell me the way we fall out of line
Is it today, is it tonight
The answer to our life

Show me a reason, give me a sign
Tell me the way we, fall out of line
Is it today or is it tonight?
We will find, the answer to our life

Show me a reason, give me a sign
Tell me the way we, fall out of line
Is it today or is it tonight?
We'll find, the answer to our life
"
42,"album: ""Black & Blue"" (2000)",Everyone,"

We've been through days of thunder
Some people say they don't belong
They try to put us under
But here we stand together and a million strong?

Let's get on with the show (Let's get started)
Turn the lights down low (Turn the lights down low)
You were there from the start (You were there)
We know who you are
and this one goes out to you

Everyone, everyone, everyone
Said this one goes out to you
Everyone, we're standing strong cause of what you've done
and this one goes out to you.

[more synthesized voicing; saying Backstreet]

We've been inside the circus (circus music plays a bit)
We take the pleasure with the pain
I guess there's something about us
Whatever comes around we'll always stay the same
Oh yeah
Let's get on with the show (Oh Let's get started)
Turn the lights down low (Turn the lights down low)
You were there from the start (You were there)
We know who you are
We know, who you are!

Everyone, everyone, everyone
Said this one goes out to you
Everyone, we're standing strong cause of what you've done
and this one goes out to you.

[music break and synthesized voicing]

Now we're minutes away
Till it's time to play
Our heart beats are rising
they're letting you in
Time for the show to begin

We, we're standing stong cuz of what you've done
this one goes out to you you you
You make us feel like we've just begun
And this one goes out to you

Everyone, everyone, everyone
Said this one goes out to
Everyone, we're standing strong cause of what you've done
and this one goes out to you.

Everyone, everyone, everyone(yeah)
Said this one goes out to
Everyone, we're standing strong cause of what you've done
and this one goes out to you
"
43,"album: ""Black & Blue"" (2000)",More Than That,"

I can see that you've been crying
You can't hide it with a lie
What's the use in you denying
That what you have is wrong

I heard him promise you forever
But forevers come and gone
Baby he would say whatever
It takes to keep you blind
To the truth between the lines

Oh I will love you more than that
I won't say the words, then take them back
Don't give loneliness a chance
Baby listen to me when I say
I will love you more than that

Baby you deserve much better
What's the use in holding on
Don't you see it's now or never
Cause I just can't be friends
Baby knowing in the end

That I will love you more than that
I won't say the words, then take them back
Don't give loneliness a chance
Baby listen to me when I say

[bridge]
There's not a day that passes by
I don't wonder why we haven't tried
It's not too late to change your mind
So take my hand, don't say goodbye

I will love you more than that
I won't say the words, then take them back

Oh I will love you more than that
I won't say the words, then take them back
Don't give loneliness a chance
Baby listen to me when I say
I will love you, oh

I will love you more than that
I won't say the words, then take them back
Don't give loneliness a chance
Baby listen to me when I say
I will love you more than that
"
44,"album: ""Black & Blue"" (2000)",Time,"

I know that I, I can't believe
Just what the past has brought me
To the man I wanna be
I know that we have had some times
That we can't forget the struggle
Cause we have so far to go

I know we've changed but
Change can be so good
So let's not forget why
It's understood that

[chorus:]
Time, look where we are and what we've been through
Time, sharing our dreams
Time, goes on and on everyday, baby
Time is what it is
Come what mayc(come what may)

I remember when, mom used to say
That things are getting better
And you'll soon be on your way
Remember those days
When we would sing at the drop of a dime (Oooh)
Way back when nothing mattered (Mmm, mm, mm)

I know we've changed, but
Change can be so good
Oh so let's not forget why it's understood that

[chorus:]
Time, look where we are and what we've been through
(look where we are)
Time, sharing our dreams (dreams, dreams, dreams, oh yeah)
Time, (goes on and on) goes on and on everyday (everyday)
Time is what it is (Oh)
Come what may (come what may)

[bridge:]
So here we are (here we are)
And we'll always stay together
And through it all you know we owe it all to you, you, you , you
Time goes on and on

[chorus:]
Time (Time), look where we are and what we've been through
Time, sharing our dreams
Time, (goes on and on) goes on and on everyday (everyday)
Time is what it is (Time is what is it)

Time (Time), look where we are and what we've been through
Time (Time), sharing our dreams (sharing our dreams)
Time, (goes on and on) goes on and on everyday
Time is what it is, Come what may

Time, goes on and on everyday, Time is what it is
Come what may
Come what may
"
45,"album: ""Black & Blue"" (2000)",Not For Me,"

I was looking for something
On the crime scene where you're in too deep
I found a note with this number
It's just another clue(it leads to you)
I got a little suspicious, I got a feeling
That you ain't true to me
I should have known better than to buy your lies

You can fool anyone but I got eyes to see
That you're not for me, babe

No No Uh uh
Things will never be the same again with you
No No Uh uh
Now I know what it's coming to
No No Uh uh
Cause if you think that it's the way that love, should be
Let me tell you it's not for me

I don't want to be on, your screenplay
Just tell me did you rehearse on me?
I'll give you the story
Baby, whose to win? Me or him?
Caught in the middle
And I'm tired of your games of Hide and Seek
I'm getting the feeling that it's time for me to leave

You can fool anyone but I got eyes to see
That you're not for me, baby

No No Uh uh (yeah yeah)
Things will never be the same again with you
No No Uh uh(Oh)
Now I know what it's coming to
No No Uh uh (yeah-eah)
Cause if you think that it's the way that love, should be
Let me tell you it's not for me

Yeah, yeah
I said no, no
No way
No no, No no
No

I had enough of your talk, your games
And it won't go away (won't go away)
Justify my reasons to stay ( stay, reasons to stay)

No no uh uh
Let me hear you say No no
No no uh uh
No no, let me tell you it's not for me
No no uh uh
Cause if you think that it's the way that love should be
Well let me tell you it's not for me

No No Uh uh (whoo)
Things will never be the same again with you
No No Uh uh(baby)
Now I know what it's coming to
No No Uh uh (yeah-eah)
Cause if you think that it's the way that love, should be

Well me tell you it's not for me
"
46,"album: ""Black & Blue"" (2000)","Yes, I Will","

I open my eyes I see your face
I cannot hide I can't erase
The way you make me feel inside
You complete me girl, that's why
Something about you makes me feel
Baby my heart wants to reveal
I'm down on my knees, I'm asking you
Say these three words I wanna hear from you

[chorus:]
Yes I will, take your hand and walk with you
Yes I will, say these three words I promise to
Yes I will, give you everything you need
And someday start a family with you
Yes I will, take your hand and walk with you
Yes I will, baby I promise to
Yes I will, give you everything you need
And someday start a family with you

Oh yes I will

This is no ordinary love
And I can never have enough
Of all the things you've given to me
My heart , my soul , my everything
Every night I thank you lord (I thank you lord)
For giving me the strength to love her more
And more each day I promise her
As long as I hear those three words

[chorus:]
Yes I will, take your hand and walk with you
Yes I will, say these three words I promise to
Yes I will, give you everything you need
And someday start a family with you
Yes I will, take your hand and walk with you
Yes I will, baby I promise to
Yes I will, give you everything you need
And someday start a family with you

[bridge:]
I stand beside you, in everything you do
Wherever you go, whatever you do
Baby I'll be there (oh baby I will be there)
As God as my witness
I will carry this through
Till death do us part, I promise to you

[chorus:]
Yes I will, take your hand and walk with you
Yes I will, Baby baby yes I promise to
Yes I will, give you everything you need
And start a family with you, baby
Yes I will
Yes I will
Yes I will, I promise you
Everything's gonna be all right
It's gonna be all right
I will
"
47,"album: ""Black & Blue"" (2000)",It's True,"

Even a lover makes a mistake sometimes
Like any other
Fall out and lose his mind
And I'm sorry for the things I did
For your teardrops over words I said
Can you forgive me and open
your heart once again, oh yeah

It's true
I mean it
From the bottom of my heart
Yeah, it's true
Without you I would fall apart

Whatever happened
I know that I was wrong, oh yes
Can you believe me
Maybe your faith is gone
But I love you and I always will
So I wonder if you want me still
Can you forgive me and open
your heart once again, oh yeah

It's true
I mean it
From the bottom of my heart
Yeah, it's true
Without you I would fall apart

I'd do anything to make it up to you
So please understand
And open your heart once again

It's true
I mean it
From the bottom of my heart
Yeah, it's true
Without you I would fall apart
"
48,"album: ""Black & Blue"" (2000)",How Did I Fall In Love With You?,"

Remember when, we never needed each other
The best of friends like
Sister and Brother
We understood, we'd never be
Alone

Those days are gone, now I want you so much
The night is long and I need your touch
Don't know what to say
I never meant to feel this way
Don't want to be
Alone tonight

What can I do, to make you mine
Falling so hard so fast this time
What did I say, what did you do?
How did I fall in love with you?

I hear your voice
And I start to tremble
Brings back the child that, I resemble

I cannot pretend, that we can still be friends
Don't want to be
Alone tonight

What can I do, to make you mine
Falling so hard so fast this time
What did I say, what did you do?
How did I fall in love with you?

Oh I want to say this right
And it has to be tonight
Just need you to know, oh yeah

I don't want to live this life
I don't want to say goodbye
With you I wanna spend
The rest of my life

What can I do, to make you mine
Falling so hard so fast this time
What did I say, what did you do?
How did I fall in love with you?

What can I do, to make you mine
Falling so hard so fast this time
Everything's changed, we never knew

How did I fall
In love
With you?
"
49,"album: ""Black & Blue"" (2000)",What Makes You Different (Makes You Beautiful),"

You don't run with the crowd
You go your own way
You don't play after dark
You light up my day
Got your own kind of style
That sets you apart
Baby, that's why you captured my heart

I know sometimes you feel like you don't fit in
And this world doesn't know what you have within
When I look at you, I see something rare
A rose that can grow anywhere (grow anywhere)
And there's no one I know that can compare

What makes you different, (alright) makes you beautiful (alright)
What's there inside you, (alright) shines through to me
In your eyes I see, all the love I'll ever need
You're all I need, oh girl
What makes you different, makes you beautiful to me

Hey, yeah yeah yeah
You got something so real
You touched me so deep (touched me so deep)
You see material things
Don't matter to me
So come as you are
You've got nothing to prove
You've won me with all that you do
And I wanna take this chance to say to you

What makes you different, (alright, yeah yeah) makes you beautiful (alright)
What's there inside you, (alright) shines through to me
In your eyes I see, all the love I'll ever need
You're all I need, oh girl
What makes you different, makes you beautiful

You don't know (you don't know) how you touched my life (touched my life)
Oh in so many ways (so many ways) I just can't describe
You taught me what love is supposed to be
It's all the little things that make you beautiful to me (so beautiful)
Oh yeah, yeah

What makes you,
What makes you different, (what makes) makes you beautiful (to me)
What's there inside you, (there shines) shines through to me
In your eyes I see, all the love I'll ever need
You're all I need, oh girl
What makes you different, makes you beautiful to me

Everything you do is beautiful (so beautiful)
Love you give shines right through me (shines right through to me)
Everything you do is beautiful (ooh, ooh ooh ooh oh)
Oh, you're beautiful to me (to me)
"
50,"album: ""Never Gone"" (2005)",Incomplete,"

Empty spaces fill me up with holes
Distant faces with no place left to go
Without you within me I can find no rest
Where I'm going is anybody's guess

I tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you all I'm going to be is incomplete

Voices tell me I should carry on
But I am swimming in an ocean all alone
Baby, my baby
It's written on your face
You still wonder if we made a big mistake

I tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you all I'm going to be is incomplete

I don't mean to drag it on, but I can't seem to let you go
I don't wanna make you face this world alone
I wanna let you go (alone)

I tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you all I'm going to be is incomplete

Incomplete
"
51,"album: ""Never Gone"" (2005)",Just Want You To Know,"

Looking at your picture from when we first met
You gave me a smile that I could never forget
And nothing I could do could protect me from you that night

Wrapped around your finger, always on my mind
The days would blend 'cause we stayed up all night
Yeah, you and I were everything, everything to me

I just want you to know that I've been fighting to let you go
Some days I make it through and then there's nights that never end
I wish that I could believe that there's a day you'll come back to me
But still I have to say I would do it all again
Just want you to know

All the doors are closing I'm tryin' to move ahead
And deep inside I wish it's me instead
My dreams are empty from the day, the day you slipped away

I just want you to know that I've been fighting to let you go
Some days I make it through and then there's nights that never end
I wish that I could believe that there's a day you'll come back to me
But still I have to say I would do it all again
Just want you to know

That since I lost you, I lost myself
No I can't fake it, there's no one else

I just want you to know
That I've been fighting to let you go
Some days I make it through and then there's nights that never end
I wish that I could believe that there's a day you'll come back to me
But still I have to say I would do it all again
Just want you to know

That I've been fighting to let you go
Some days I make it through and then there's nights that never end
I wish that I could believe that there's a day you'll come back to me
But still I have to say I would do it all again
Just want you to know
"
52,"album: ""Never Gone"" (2005)",Crawling Back To You,"

Everybody knows that I was such a fool to ever let go of you
Baby I was wrong
Yeah I know I said we'd be better off alone
It was time that we moved on
I know I broke your heart, I didn't mean to break your heart
But baby here I am

Banging on your front door
My pride spilled on the floor
My hands and knees are bruised and I'm crawling back to you
Begging for a second chance
Are you gonna let me in?
I was running from the truth and now I'm crawling back to you

I know you're in there and you can make me wait
But I'm not goin' away
It's the least that I can do, just to tell you face to face
I was lying to myself, now I'm dying in this hell
Girl I know you're mad, I can't blame you for being mad
But baby here I am

Banging on your front door
My pride spilled on the floor
My hands and knees are bruised and now I'm crawling back to you
Begging for a second chance
Are you gonna let me in?
I was running from the truth and now I'm crawling back to you

If you could see these tears I'm crying
Touch these hands that can't stop shaking
Hear my heart that's barely beating
You will see a different man

But baby here I am
Banging on your front door
My pride spilled on the floor
My hands and knees are bruised and I'm crawling back to you (come on)
Begging for a second chance
Are you gonna let me in? (let me in)
I was running from the truth, now I'm crawling back to you

Banging on your front door (darling)
My pride spilled on the floor
I was running from the truth, now I'm crawling back to you, yeah
Now I'm crawling back to you
Crawling back to you
Crawling back to you
Crawling back to you
"
53,"album: ""Never Gone"" (2005)",Weird World,"

Weird world, weird world
Hey hey hey

The sun is over the city but it's an orange day
There is reason for looking up but I'm feeling down
You see I've got to catch a plane, won't buy a ticket
Cause it's hard to stop when you're spinning around

It's a weird world don't you know it?
It's a weird world and it won't slow down
It's a weird world no matter how you roll it

Hey hey hey sweet baby
There's a way, just stand up and fight it
Hey hey hey
Never give up and don't let it wear out, your love
It's a weird world, yeah

Sent a message to a GI in the desert
Said thank you man for bringing another dawn
Back here it's her and me and we're having our first baby
He's out there taking them on

It's a weird world and I know you know it
It's a weird world and it won't slow down
It's a weird world no matter how you roll it
Hey hey hey sweet baby
There's a way, just stand up and fight it
Hey hey hey
Never give up and don't let it wear out, your love

I'm closing my eyes but I'm starting to see
While he's looking at you, she's looking at me
The only thing he does is just keep me away from you
Sure, part of this place would cheer if I die
But don't let them take away your beautiful smile
Take away your beautiful smile
Take away your beautiful smile

Hey hey hey sweet baby
There's a way just stand up and fight it
Hey hey hey sweet baby
There's a way for you to decide it
Hey hey hey
Never give up and don't let it wear out, your love

(Hey hey hey)
It's a weird world don't you know it?
(Hey hey hey)
It's a weird world don't you know it?
(Hey hey hey)
It's a weird world don't you know it?
Hey hey hey
"
54,"album: ""Never Gone"" (2005)",I Still...,"

Who are you now?
Are you still the same or did you change somehow?
What do you do
At this very moment when I think of you?

And when I'm looking back
How we were young and stupid,
Do you remember that?

No matter how I fight it,
Can't deny it.
Just can't let you go.

I still need you.
I still care about you.
Though everything's been said and done,
I still feel you
Like I'm right beside you,
But still no word from you.

Now look at me:
Instead of moving on, I refuse to see
That I keep coming back.
Yeah, I'm stuck in a moment
That wasn't meant to last, to last.

I've tried to fight it,
Can't deny it.
You don't even know

That I still need you.
I still care about you.
Though everything's been said and done,
I still feel you
Like I'm right beside you,
But still no word from you.

No, no.
I wish I could find you
Just like you found me,
Then I would never let you go.
Without you.

Though everything's been said and done. Yeah.
I still feel you (I still feel you)
Like I'm right beside you (like I'm right beside you),
But still no (still no word) word from you.
"
55,"album: ""Never Gone"" (2005)",Poster Girl,"

Yeah yeah yeah

Jodie was a long way from home
She could make alone look pretty
Her attitude made a part of the landscape
Riding her bike through Alphabet City
She likes to party in the backseat
Under the bridge on the Brooklyn side
Smoking cigarettes in the afterglow
Taking bets that the sun won't rise

She said, ""what good is tomorrow without a guarantee?""
She can lick her lips and smile
And make you wannabelieve

That the consequences of your actions really are just a game
That your life is just a chain reaction taking you day by day
She says nothing's forever in this crazy world
Still I'm falling in love with the right now poster girl

Right now right now
Oooh
Oh Oh

Jodie liked to shoplift in stores
Ride alongside the rich and famous
Get in elevators, press emergency stop
And make love on the floor 'til the camera made us
And no woman in the world ever made me feel like my heart's on fire
Where she'd walk I followed (followed)
When she left I cried

What good is tomorrow without a guarantee?
I was wrapped around her finger
And I began to believe

That the consequences of your actions really are just a game
That your life is just a chain reaction taking you day by day
She says nothing's forever in this crazy world
Still I'm falling in love with the right now poster girl

That the consequences of your actions really are just a game
That your life is just a chain reaction taking you day by day
She says nothing's forever in this crazy world (crazy world)
Still I'm falling in love with the right now poster girl

La la la la
La la la la
La la la la la (la la la la la)
La la la la
La la la la (la la la la)
La la la la la

Oh
Tell me what you want from me
I've got everything you need
It's getting hard for me to breathe
Let me be your guarantee

That the consequences of your actions really are just a game
That your life is just a chain reaction taking you day by day
She says nothing's forever in this crazy world
Still I'm falling in love with the right now poster girl

That the consequences (poster girl) of your actions really are just a game
That your life is just a chain reaction taking you day by day
She says nothing's forever in this crazy world (crazy world)
Still I'm falling in love with the right now poster girl

Right now right now
Right now oh oh
Poster girl
Yeah yeah yeah yeah yeah yeah
Poster girl yeah
Come on come on yeah
"
56,"album: ""Never Gone"" (2005)",Lose It All,"

Oh no
Take what you need 'cause I can't hold my breath
Say what you feel 'cause I got nothing left, oh
I made a promise to myself last night
I'm gonna keep it if it's wrong or right

And if I lose it all
There'll be nothing left to lose and I would take the fall
'Cause knowing you are out there breathing
It's so wonderful, it's a chance I take even if I break it
I lose it all, if I lose it all
Wouldn't matter anyway

Don't change a thing, perfect as you are
Time has a way, time is all I've got
If my heart should shatter watching you
That'd be one less thing I'd have to prove

And if I lose it all
There'll be nothing left to lose and I would take the fall
'Cause knowing you are out there breathing
It's so wonderful, it's a chance I take even if I break it
I lose it all, if I lose it all

Heaven will be waiting when I fall into your open arms
I believe you'll find me there
You'll find me there

And if I lose it all
There'll be nothing left to lose and I would take the fall
'Cause knowing you are out there breathing
It's so wonderful, it's a chance I take even if I break it
I lose it all, if I lose it all

And if I lose it all
There'll be nothing left to lose and I would take the fall
'Cause knowing you are out there breathing
It's so wonderful, it's a chance I take even if I break it
I lose it all, if I lose it all
Wouldn't matter anyway
"
57,"album: ""Never Gone"" (2005)",Climbing The Walls,"

[Brian:]
Close your eyes, make a wish
That this could last forever
If only you could stay with me now
So tell me what it is
That keeps us from each other now
Yeah it's coming to get me
You're under my skin

[Brian and All:]
No I can't let you go
You're a part of me now
Caught by the taste of your kiss
And I don't wanna know
The reason why I
Can't stay forever like this
Now I'm climbing the walls cause I miss you

[Brian:]
Take my hand, take my life
Just don't take forever
And let me feel your pain kept inside (oh yeah)
There's gotta be a way
For you and I together now
Yeah it's coming to get me
You're under my skin

[Brian and All:]
No I can't let you go
You're a part of me now
Caught by the taste of your kiss (ohh)
And I don't wanna know
The reason why I
Can't stay forever like this
Now I'm climbing the walls cause I miss you

[Howie:]
It's an illusion

[Howie and Kevin:]
How can I feel this way?

[AJ and Kevin:]
If I can't have you

[Howie:]
It's an illusion

[Howie and Kevin:]
Nothing is real this way

[AJ and Kevin:]
If I can't have you

[Brian and All (Nick):]
No I can't let you go
You're a part of me now (now)
Caught by the taste of your kiss (I don't wanna know)
And I don't wanna know
The reason why I
Can't stay forever like this (I'm climbing the walls)
Now I'm climbing the walls cause I miss

[AJ and Nick:]
You

[Brian:]
Ohhhh
I can't let you go no

[All:]
And I don't wanna know
The reason why I
Can't stay forever like this (ohh ohh)
Now I'm climbing the walls cause I miss (I miss) you
"
58,"album: ""Never Gone"" (2005)",Beautiful Woman,"

How can I begin to
Tell you what you do to
Me every time I hear ya
More willing to wanna see ya

I know that there's no use in
Tryin' to explain the confusion
But still I'm not complainin'
'Bout my situation

Let's not talk about a
Possible ending

The very first time that I
Was lookin' to be your fella
I found my inspiration
Hidin' in your expression
So I put myself forward
For your consideration

[Chorus:]
Let's not talk about a
Possible ending
Let's not think about it
Every day
And I know
I'm so
In love
With you
I'm finding it harder and harder to breath
Every time I hear
My beautiful woman

And so we put the top down
To take you drivin' downtown
I guess we'll know just what to do
When you're lookin' to fool around

It's too late to stop me
I know we're gonna get down

[Chorus]

My beautiful woman
My beautiful woman
My beautiful woman

B is for beautiful
As the sunshine
E tells me everything is feelin' alright
A goes to you and me swingin' it down
T is two
I want you, You've got me actin' like a
Fool

[Chorus]
"
59,"album: ""Never Gone"" (2005)",Safest Place To Hide,"

Yeah, yeah
It seems like yesterday when I said ""I do""
And after all this time my heart still burns for you
If you don't know by now that you're my only one
Take a look inside me and watch my heartstrings come undone

I know I promised you forever
Is there no stronger word I can use
To reassure you when the storm is raging outside
You're my safest place to hide

Can you see me, here I am
I need you like I needed you then
When I feel like giving up
I climb inside your heart and still find
You're my safest place to hide

You see colors no one else can see
In every breath you hear a symphony
You understand me like nobody can
I feel my soul unfolding, like a flower blooming

And when this whole world gets too crazy
And there's nowhere left to run
I know you give me sanctuary
You're the only truth I know
You're the road back home

Can you see me, here I am
Standing here where I've always been
And when words are not enough
I climb inside your heart and still find
You're my safest place to hide
My safest place to hide

I know I promised you forever
There's no stronger word I can use
To reassure you when the storm is raging outside
You're my safest place to hide

Oh!
Can you see me, here I am
Standing here where I've always been
When I feel like giving up
I climb inside your heart and still find
Yeah, yeah
You're my safest place to hide, oh yeah
You're my safest place to hide
"
60,"album: ""Never Gone"" (2005)",Siberia,"

When you come back I won't be here
She said and gently pulled me near
If you want to talk you can call
And no it's not your fault

I just smiled and said let go of me
But there's something that I've just gotta know
Did someone else steal my part?
She said it's not my fault

Then my heart did time in Siberia
Was waiting for the lie to come true
'Cause it's all so dark and mysterious
When the one you want doesn't want you too

I was drifted in between
Like I was on the outside looking in, yeah yeah
In my dreams you are still here
Like you've always been

Oh yeah, my heart did time in Siberia
Was waiting for the lie to come true
'Cause it's all so dark and mysterious
When the one you want doesn't want you too

I gave myself away completely
But you just couldn't see me
Though I was sleeping in your bed
'Cause someone else was on your mind
In your head

When I came back she wasn't there
Just a note left on the stairs
If you want to talk give me a call

My heart did time in Siberia
Was waiting for the lie to come true
'Cause it's all so dark and mysterious
When the one you want doesn't want you too
When the one that you want doesn't want you

My heart did time in Siberia
Was waiting for the lie to come true
'Cause it's all so dark and mysterious
When the one you want doesn't want you too

Siberia, Siberia
When the one you want doesn't want you too
"
61,"album: ""Never Gone"" (2005)",Never Gone,"

The things we did, the things we said
Keep coming back to me and make me smile again
You showed me how to face the truth
Everything that's good in me I owe to you

Though the distance that's between us
Now may seem to be too far
It will never separate us
Deep inside I know you are

Never gone, never far
In my heart is where you are
Always close, everyday
Every step along the way
Even though for now we've gotta say goodbye
I know you will be forever in my life (yeah)
Never gone

No no no
I walk alone these empty streets
There is not a second you're not here with me
The love you gave, the grace you've shown
Will always give me strength and be my cornerstone

(Somehow)
Somehow you found a way
To see the best I have in me
As long as time goes on
I swear to you that you will be

Never gone, never far
In my heart is where you are
Always close (always close)
Everyday (everyday)
Every step along the way
Even though for now we've gotta say goodbye
I know you will be forever in my life (in my life yeah)

Never gone from me
If there's one thing I believe (I believe)
I will see you somewhere down the road again

Never gone, never far
In my heart is where you are
Always close (always close)
Everyday (everyday)
Every step along the way
Even though for now we've gotta say goodbye (yeah yeah)
I know you will be forever in my life (in my life)

Never gone, never far
In my heart (in my heart is where) is where you are (you are)
Always close, everyday
Every step along the way

Never gone, never far
In my heart is where you are
"
62,"album: ""Never Gone"" (2005)",Song For The Unloved(Bonus Track),"

Hey..

This one is for the mothers…
Who've lost a child
This one is for the gypsies
Who left their hearts behind
This is for the strangers
Sleeping in my heart
Take what they want
And leave while it's still dark

[Bridge]
No one is glamourously
Lonely, all by themselves

[Chorus]
This is a song for the unloved
This is a music for one last cry
This is a prayer that tomorrow will help me leave the past behind
It's a song for the unloved (the unloved)

This one's for the bridesmaid
Never the bride
This one's for the dreamers
Who locked their faith inside
This is for the widows
Who think there's only one
The dying fathers that never told their sons

No one is glamourously, lonely
Follow your heart…

[Chorus repeat]

Ohh
Tomorrow the sun will shine
And dry the tears in your eyes
Suddenly love comes alive…

For one last cry
Just one last cry…

[Chorus repeat x2]
"
